FilePath,CodeLines,CommentLines,BlankLines,TotalLines,CommentDensityPct
.\libs\sql-parser\src\main\java\io\crate\sql\tree\FrameBound.java,221,58,25,304,19.07894736842105
.\libs\sql-parser\src\main\java\io\crate\sql\tree\FunctionArgument.java,40,20,12,72,27.77777777777778
.\libs\sql-parser\src\main\java\io\crate\sql\tree\FunctionCall.java,23,20,8,51,39.21568627450981
.\libs\sql-parser\src\main\java\io\crate\sql\tree\GCDanglingArtifacts.java,22,20,8,50,40.0
.\libs\sql-parser\src\main\java\io\crate\sql\tree\GeneratedExpressionConstraint.java,57,20,16,93,21.50537634408602
.\libs\sql-parser\src\main\java\io\crate\sql\tree\GenericProperties.java,107,41,27,175,23.428571428571427
.\libs\sql-parser\src\main\java\io\crate\sql\tree\GenericProperty.java,43,30,11,84,35.714285714285715
.\libs\sql-parser\src\main\java\io\crate\sql\tree\GrantPrivilege.java,25,20,9,54,37.03703703703704
.\libs\sql-parser\src\main\java\io\crate\sql\tree\GroupBy.java,51,20,14,85,23.529411764705884
.\libs\sql-parser\src\main\java\io\crate\sql\tree\IfExpression.java,15,23,6,44,52.27272727272727
.\libs\sql-parser\src\main\java\io\crate\sql\tree\IndexColumnConstraint.java,58,20,15,93,21.50537634408602
.\libs\sql-parser\src\main\java\io\crate\sql\tree\IndexDefinition.java,64,20,14,98,20.408163265306122
.\libs\sql-parser\src\main\java\io\crate\sql\tree\InListExpression.java,13,20,6,39,51.282051282051285
.\libs\sql-parser\src\main\java\io\crate\sql\tree\InPredicate.java,12,20,5,37,54.054054054054056
.\libs\sql-parser\src\main\java\io\crate\sql\tree\Insert.java,139,20,26,185,10.81081081081081
.\libs\sql-parser\src\main\java\io\crate\sql\tree\IntegerLiteral.java,12,20,5,37,54.054054054054056
